gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200009812563794043e+01,1.200000409014796787e+02,1.665957799730158939e+01,5.169760727018534396e+00,2.241894657842724223e-02,-4.989227858277059724e+00
3.200026868774705946e+01,1.199999849570087491e+02,-4.303232974195296379e+00,5.392189640044276366e+00,1.005887075659494395e-02,-5.140732378771054378e+00
3.200017668469835286e+01,1.200000116404429065e+02,2.257583274483481972e+01,5.347093555889115279e+00,4.890653273094946324e-02,-5.170960445952441198e+00
3.200019413710555938e+01,1.199999611020814996e+02,1.537805050837354948e+01,5.398484815898143552e+00,4.188621391390228571e-02,-5.342971691282287772e+00
3.200021704865766736e+01,1.199999936239580194e+02,1.122597507493246383e+01,5.556675558709255114e+00,-7.227841111032437538e-02,-5.338070419669985966e+00
3.200013800950384990e+01,1.199999794219022107e+02,3.047040883666971567e+01,5.579888064373399459e+00,-8.211701312829061683e-02,-5.421151664707068107e+00
3.200024648293274510e+01,1.200000009496705360e+02,1.589977635884465457e+01,5.747813035294180750e+00,9.624368189639510157e-03,-5.567852884896088206e+00
3.200026448729200013e+01,1.200000310919742930e+02,9.988991222650433599e+00,5.757470537597444427e+00,2.948827038646314666e-03,-5.506833397765650062e+00
3.200024206870937604e+01,1.200000934782609221e+02,2.505154701701117048e+01,5.763841837360843989e+00,-4.537244835276910138e-02,-5.618685210777233152e+00
3.200020169543252990e+01,1.200000503917879655e+02,2.308306889586507893e+01,5.947674272209148683e+00,-3.188024120872421513e-02,-5.638205590774590270e+00
3.200025558660250624e+01,1.200000790758993787e+02,2.261807724917889217e+01,5.982996300855766947e+00,5.993622901689103083e-02,-5.881327745464010270e+00
